question,segment_type,segment_description,answer,count,percentage
What social platform has influenced your online shopping most?,University,Ohio University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Ohio University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Ohio University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Ohio University,None,1,1.0
What social platform has influenced your online shopping most?,University,Washington State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Washington State University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Washington State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Washington State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Washington State University,None,0,0.0
What social platform has influenced your online shopping most?,University,Binghamtom University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Binghamtom University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Binghamtom University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Binghamtom University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Binghamtom University,None,1,1.0
What social platform has influenced your online shopping most?,University,George Washington University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,George Washington University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,George Washington University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,George Washington University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,George Washington University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Alabama,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Alabama,Instagram,1,0.333
What social platform has influenced your online shopping most?,University,University of Alabama,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Alabama,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Alabama,None,2,0.667
What social platform has influenced your online shopping most?,University,University of Florida,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Florida,Instagram,1,0.333
What social platform has influenced your online shopping most?,University,University of Florida,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Florida,Twitter,1,0.333
What social platform has influenced your online shopping most?,University,University of Florida,None,1,0.333
What social platform has influenced your online shopping most?,University,The College of New Jersey,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,The College of New Jersey,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,The College of New Jersey,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,The College of New Jersey,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,The College of New Jersey,None,1,1.0
What social platform has influenced your online shopping most?,University,Florida State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Florida State University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Florida State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Florida State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Florida State University,None,0,0.0
What social platform has influenced your online shopping most?,University,Santa Clara University,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,Santa Clara University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Santa Clara University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Santa Clara University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Santa Clara University,None,2,0.667
What social platform has influenced your online shopping most?,University,Appalachian State University,Facebook,6,0.24
What social platform has influenced your online shopping most?,University,Appalachian State University,Instagram,6,0.24
What social platform has influenced your online shopping most?,University,Appalachian State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Appalachian State University,Twitter,3,0.12
What social platform has influenced your online shopping most?,University,Appalachian State University,None,10,0.4
What social platform has influenced your online shopping most?,University,Arbroath Academy,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Arbroath Academy,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Arbroath Academy,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Arbroath Academy,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,Arbroath Academy,None,0,0.0
What social platform has influenced your online shopping most?,University,Arkansas Tech University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Arkansas Tech University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Arkansas Tech University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Arkansas Tech University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Arkansas Tech University,None,1,1.0
